Satellite Name,Culmination Time (UTC),Altitude (km)
POLAR,2025-01-08 04:34:11,43060.93107049907
IPM 2 & BREEZE-M R/B,2025-01-08 03:30:48,40299.48098120063
LUCH (OLYMP-K 1),2025-01-08 05:41:50,38595.973911669156
ARCTURUS,2025-01-08 05:04:20,38516.15611867321
INTELSAT 905 (IS-905),2025-01-08 05:35:19,38431.850789719756
SKYNET 5C,2025-01-08 05:31:11,38418.23309449959
BADR-5,2025-01-08 03:01:01,38333.64187578856
EUTELSAT HOTBIRD 13C,2025-01-08 05:16:29,38312.43202944603
EXPRESS-AM44,2025-01-08 05:10:23,38221.39575375152
IRNSS-1F,2025-01-08 03:58:17,38189.80065627291
INTELSAT 28 (IS-28),2025-01-08 03:43:14,38154.07563080422
EUTELSAT KONNECT VHTS,2025-01-08 03:35:08,38150.32935695423
USA 325,2025-01-08 03:30:00,38142.691162958625
COMSATBW-2,2025-01-08 03:11:32,38138.32847271679
COSMOS 2539,2025-01-08 03:25:22,38132.778373290814
EUTELSAT KONNECT,2025-01-08 03:27:24,38121.445869144154
EUTELSAT 10B,2025-01-08 03:13:40,38121.29957146745
AEHF-2 (USA 235),2025-01-08 04:01:16,38109.67533515389
ELEKTRO-L 2,2025-01-08 04:57:19,38046.97811281541
SYRACUSE 3B,2025-01-08 04:19:30,38014.633940956825
HELLAS-SAT 2,2025-01-08 04:27:57,37870.37230640284
LUCH-5B,2025-01-08 03:41:31,37789.937964302095
MERIDIAN 10,2025-01-08 05:17:11,37655.13164121271
COSMOS 2546,2025-01-08 05:13:36,30386.568898036137
ARKTIKA-M 1,2025-01-08 05:10:14,29299.76330262504
GSAT0223 (GALILEO 27),2025-01-08 04:52:19,24692.132687568028
SHIYAN 10-02 (SY-10 02),2025-01-08 03:34:04,24467.931980183537
BEIDOU-3 M22,2025-01-08 03:09:26,23865.595395622397
GSAT0219 (GALILEO 23),2025-01-08 03:08:46,23616.690669245814
BEIDOU-3 M24,2025-01-08 04:18:42,23430.262530283908
GSAT0209 (GALILEO 12),2025-01-08 03:45:09,23243.26527993271
BEIDOU-3 M17,2025-01-08 05:52:09,22274.67576064995
COSMOS 2529 [GLONASS-M],2025-01-08 03:44:19,21603.67078849078
BEIDOU-3 M4,2025-01-08 05:18:26,21583.40339765392
NAVSTAR 81 (USA 319),2025-01-08 04:27:12,21511.80121772335
ZHIHUI TIANWANG-1 01A,2025-01-08 04:44:16,21372.57039449709
